"nm" "bkm" "wfl" "SBez" "lage.15" "Makrolage" "NeuerVertrag" "dauermv" "gew.HH_Total" "gew.HH_Erw" "gew.md"
"53" 2090 2175 80 "Ludwigvorstadt-Isarvorstadt" 2 1 1 8 0.543992050276629 0.541360416945076 0.961135367784455
"54" 790 905 54 "Ludwigvorstadt-Isarvorstadt" 3 1 1 23 1.08798410055326 1.08272083389015 0.961135367784455
"55" 720.76 775 48 "Ludwigvorstadt-Isarvorstadt" 3 1 0 197 1.08798410055326 1.08272083389015 1.0008582768322
"56" 1410 1557.85 95 "Ludwigvorstadt-Isarvorstadt" 3 1 0 203 0.543992050276629 0.541360416945076 1.0008582768322
"57" 780 875.72 57 "Ludwigvorstadt-Isarvorstadt" 3 1 1 29 0.543992050276629 0.541360416945076 0.961135367784455
"58" 796.56 919.15 108 "Ludwigvorstadt-Isarvorstadt" 3 1 0 840 1.08798410055326 1.08272083389015 1.18452668384622
"59" 1373.1 1503.05 115 "Ludwigvorstadt-Isarvorstadt" 2 1 0 533 1.08798410055326 1.08272083389015 1.18452668384622
"60" 1414 1498 54 "Ludwigvorstadt-Isarvorstadt" 2 1 1 5 0.543992050276629 0.541360416945076 0.961135367784455
"61" 671.82 718.62 45 "Ludwigvorstadt-Isarvorstadt" 2 1 0 150 1.08798410055326 1.08272083389015 1.0008582768322
"62" 652.5 739.92 34 "Ludwigvorstadt-Isarvorstadt" 2 1 1 27 1.08798410055326 1.08272083389015 0.961135367784455
"63" 1100 1333.9 66 "Ludwigvorstadt-Isarvorstadt" 3 1 1 36 1.08798410055326 1.08272083389015 0.961135367784455
"64" 860 959.72 53 "Ludwigvorstadt-Isarvorstadt" 3 1 1 27 1.08798410055326 1.08272083389015 0.961135367784455
"65" 2160 2374.45 135 "Ludwigvorstadt-Isarvorstadt" 2 1 0 36 1.08798410055326 1.08272083389015 0.961135367784455
"66" 1689.37 1829.37 96 "Ludwigvorstadt-Isarvorstadt" 3 1 0 18 1.08798410055326 1.08272083389015 0.961135367784455
"67" 1095 1220.04 68 "Ludwigvorstadt-Isarvorstadt" 3 1 0 248 0.543992050276629 0.541360416945076 1.18452668384622
"68" 820 900 55 "Ludwigvorstadt-Isarvorstadt" 3 1 0 135 1.08798410055326 1.08272083389015 1.0008582768322
"69" 1254 1447.23 110 "Ludwigvorstadt-Isarvorstadt" 3 1 0 378 1.08798410055326 1.08272083389015 1.18452668384622
"70" 837.68 910 64 "Ludwigvorstadt-Isarvorstadt" 3 1 0 168 0.543992050276629 0.541360416945076 1.0008582768322
"71" 739 879.82 58 "Ludwigvorstadt-Isarvorstadt" 3 1 0 165 0.543992050276629 0.541360416945076 1.0008582768322
"72" 1300 1385 73 "Ludwigvorstadt-Isarvorstadt" 3 1 1 10 1.08798410055326 1.08272083389015 0.961135367784455
"73" 1300 1407.08 52 "Ludwigvorstadt-Isarvorstadt" 3 1 1 7 1.08798410055326 1.08272083389015 0.961135367784455
"74" 935.64 1109.66 154 "Ludwigvorstadt-Isarvorstadt" 3 1 0 482 1.08798410055326 1.08272083389015 1.18452668384622
"75" 1690 1874.6 74 "Ludwigvorstadt-Isarvorstadt" 3 1 1 37 0.543992050276629 0.541360416945076 0.961135367784455
"76" 1400 1498.8 88 "Ludwigvorstadt-Isarvorstadt" 4 1 1 68 0.543992050276629 1.08272083389015 0.961135367784455
